Country,Survey,Indicator,Question,Responses
Indonesia,Community Support,Attitude - Catch Reporting,"(13) To Me, By Obeying The Rules Of Access Management Of The Fishing Area (D) Increase Employment Due To Having To Report The Catch",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - Catch Reporting,"Here, Please Tell Me Whether 'Easy,' Rather Easy ',' Hesitant ',' Rather Difficult ', Difficult' To Do Things Yourself In This Statement; (12) For Me, (D) Report The Catch",[] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult
Indonesia,Community Support,Attitude - Enforcement,"(14) Ÿÿ9for Me, Obey The Rules Of Access Management Of The Fishery Areaÿÿ1 ) Can Not Be Done Because There Is No Firmness Against Rule Violators",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - Enforcement,"Here, Please Tell Me Whether 'Easy,' Rather Easy ',' Hesitant ',' Rather Difficult ', Difficult' To Do Things Yourself In This Statement; (12) For Me, (E) Report A Violation Of The Rules In The Area Of Access Of The Fishery Area",[] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult
Indonesia,Community Support,Attitude - Governance Participation,"Here, Please Tell Me Whether 'Easy,' Rather Easy ',' Hesitant ',' Rather Difficult ', Difficult' To Do Things Yourself In This Statement; (12) For Me, (C) Engage In Processes And Discussions For The Management Rules Of The Fishery Area Access",[] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult
Indonesia,Community Support,Attitude - NTZ,"(16) For Me, Obey The Agreement Of Management Rules Of Access Of Fishery Area (E) There Is No Benefit In The Presence Of Fish Saving Areas",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - NTZ,"Here, Please Tell Me Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below (12) To Me, By Obeying The Rules Of Access Management Of The Fishing Area (C) The Abundance Of Lobsters Will Increase From The Core Zone",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - NTZ,"10) Ÿÿ9 In The Last 6 Months, You Talked To Your Fellow Fishermen About: Ÿÿ1 (A) Benefits Derived From Paap Locations",[] Yes [] No [] Do not remember
Indonesia,Community Support,Attitude - NTZ,"Here, Please Tell Me Whether 'Easy,' Rather Easy ',' Hesitant ',' Rather Difficult ', Difficult' To Do Things Yourself In This Statement; (12) For Me, (A) Not To Fish In The No-Take Area",[] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult
Indonesia,Community Support,Attitude - TURF,"Here, Please Tell Me Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below (12) For You To Obey The Paap Agreement (A) Make The Sea Awake",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Tell Me Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below (12) For You To Obey The Paap Agreement (B) Then The Catch Is Getting More, The Income Increases",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Tell Me Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below (12) For You To Obey The Paap Agreement (C) Will Benefit Fishing Fishermen",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"(13) For You, Obey The Paap Agreement (D) Causing Social Conflict",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Mr / Mrs Declare Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below (15) For Me, Obey The Agreement Of Management Rules Of Access Of Fisheries Area (E) Will Benefit Fishermen Based On Their Activities",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Mr / Mrs Declare Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below; (13) For Me, Obey The Rules Of Fishery Area Access Management (A) Is A Form Of Responsibility As A Fisherman In The Region",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Mr / Mrs Declare Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below; (13) For Me, Obey The Rules Of Fishery Area Access Management (B) Ensuring The Continuation Of My Family's Life In The Future",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Mr / Mrs Declare Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below; (13) For Me, Obey The Rules Of Fishery Area Access Management (C) Maintaining The Availability Of Fish And Other Marine Resources For A Long Time",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"(13) To Me, By Obeying The Rules Of Access Management Of The Fishing Area (B) Lobster Catch Will Be Reduced",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Mr / Mrs Declare Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below; (13) For Me, Obey The Rules Of Fishery Area Access Management (D) Preserves The Traditions Of Life As Fishermen From Generation To Generation",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"Here, Please Tell Me Whether 'Agreed', 'Disagree', 'Do Not Know' To The Statement Below (12) To Me, By Obeying The Rules Of Access Management Of The Fishing Area (A) Then The Catch In The Future Will Add More When Compared To Before The Establishment Of Paap",[] Agree [] Disagree [] Do not know
Indonesia,Community Support,Attitude - TURF,"(12) For Me,(B) Complies With The Rules Of Access Management Of The Fishing Area",[] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult
Indonesia,Community Support,Communication - Enforcement,"For The Statement Below, Please State Your Answer, With ""Yes"", ""No"", Or 'Can Not Remember' (11) In The Last 6 Months, I Talked With Fellow Fishermen About: (C) Ways Of Monitoring And Reporting Violations Of Rules In The Area Of Access Of The Fishing Area",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - NTZ,"For The Statement Below, Please State Your Answer, With ""Yes"", ""No"", Or 'Can Not Remember' (13) In The Last 6 Months, Mr / Ms Spoke With Other Fishermen About: (B) Compliance With Applicable Agreements Within The Territory Of The Fishery Access Area",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"For The Statement Below, Please State Your Answer, With ""Yes"", ""No"", Or 'Can Not Remember' (13) In The Last 6 Months, Mr / Ms Spoke With Other Fishermen About: (D) Fishing Gear Is Allowed In The Area Of Access Of The Fishing Area",[] Yes [] No [] Do not remember
