Country,Survey,Indicator,Question,Responses
Brazil,Community Support,Attitude - Enforcement,26-Do You Believe That Surveillance At Sea Prevents Or Decreases Long-Term Illegal Fishing Within Resex?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - NTZ,26-Do You Think It Is Important To Have An Area Without Fishing In Resex?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,21-Do You Believe That Your Participation In The Iguape Bay Resex Activities Can Have A Direct Effect On Your Life?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,Do You Believe That Fishing In The Resex Area Needs To Be Regulated?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,Do You Believe That It Is Important To Capture The Robalo Respecting Your Minimum Capture Size?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,Do You Believe That Protecting Reproduction Areas Is Critical To Stabilizing Stock In Resex?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,Do You Think Its Essenital To Respect The Period Of Defense?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,2-Do You Believe That Your Participation In Resex Cururupu Fishing Activities Can Have A Direct Effect On Your Life?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,24-Do You Think It Is Important To Respect The Period Of Discovery Of The Yellow Fish?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,35-Do You Find It Important To Create A Protected Area For Nurseries And / Or Fish Spawning?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,17-Are Studies And Meetings Held To Discuss Fishing In The Community?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,19-Do You Believe That Something Needs To Be Done To Improve Fishing In Your Community?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,"21-Do You Think It Is Important To Replace The Tire, Old Cars, Old Stove, By Garajau (Craft Attractors)?",[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,23-Do You Find It Important To Have An Area Without Fishing (Asp) For Aggregation Or Reproduction Of Lobster Within The Resex Prainha Do Canto Verde?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,27-Do You Think That Using The Garajaus (Handmade Attractors) Adequately Will The Long-Term Fish Stock Be Stabilized?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,"28-Do You Believe That Having A Closed Species, Cavala, Ariacó, Guarajuba, Robalo And Serra And Being Respected Helps Stabilize The Fish Stocks Of Resex?",[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,29-Do You Think It Important To Define An Area To Organize The Garajaus (Artisan Attractors) To Avoid Harming Other Types Of Fishing?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,30-Do You Believe That An Area Without Fishing (Asp) In The Resex Of Prainha Do Canto Verde Can Increase The Stock Of Lobster?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Attitude - TURF,4-Do You Believe That Your Participation In Pirajuba Resex Activities Can Have A Direct Effect On Your Life?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Communication - Catch Reporting,"37-Do You Know If Fishermen Talk About How To Do, Contribute And The Importance Of Monitoring To Stabilize Or Recover Fish Stocks?",[ ] Yes [ ] No [ ] No Answer
