country,site_code,survey,indicator_condensed,number_questions,questions
Brazil,BIGUAPE,Sustainable Fishing Practices,Management Participation,2,1: [Question: 40-IN THE LAST SIX MONTHS WERE YOU PARTICIPATING IN ANY ACTIVITY IN THE IGUAPE BAY RESEX?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 46-GOVERNANCE AND FISHING PARTICIPATION => DO YOU OR SOMEONE IN YOUR HOUSE BE AN ACTIVE MEMBER OF THE DELIBERATIVE COUNCIL?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,BIGUAPE,Sustainable Livelihoods,Livelihood Stability,2,"1: [Question: It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree; 2: [Question: 46- Compared to 5 years ago, the quality and stability of employment for the family:; Response: improved, improved somewhat, remained the same, worsened somewhat, worsened"
Brazil,BIGUAPE,Sustainable Livelihoods,Political Trust,2,"1: [Question: I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: Generally, WE HAVE CONFIDENCE THAT THE ICMBIO CAN TAKE DECISIONS FOR BETTER INTEREST OF [OUR COMMUNITY]; Response: 1-5 scale of agreement with statement, 5 best"
Brazil,BIGUAPE,Sustainable Livelihoods,Social Trust,3,"1: [Question: MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY]; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED; Response: 1-10 scale of agreement with statement, 10 best; 3: [Question: IN A GENERAL WAY I TRUST THE MOST PEOPLE IN [MY COMMUNITY]; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,CANAVIE,Community Support,Attitude,4,1: [Question: DO YOU BELIEVE THAT FISHING IN THE RESEX AREA NEEDS TO BE REGULATED?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: DO YOU BELIEVE THAT IT IS IMPORTANT TO CAPTURE THE ROBALO RESPECTING YOUR MINIMUM CAPTURE SIZE?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: Do you believe that protecting reproduction areas is critical to stabilizing stock in resex?; Response: [ ] Yes [ ] No [ ] No Answer; 4: [Question: Do you think its essenital to respect the period of defense?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Knowledge,4,1: [Question: ARE YOU INFORMED OF THE FISHING AGREEMENT CONCERNING THE ROBALO CATCH SIZE IN THE CANEXIAN RESERVE?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: Do you know fishing regulations for resex?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: Do you know fishing regulations for resex?+AR1; Response: [ ] Yes [ ] No [ ] No Answer; 4: [Question: Are you Informed on importance of temporary no take areas?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Sustainable Livelihoods,Livelihood Stability,2,"1: [Question: It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree; 2: [Question: 46- Compared to 5 years ago, the quality and stability of employment for the family:; Response: improved, improved somewhat, remained the same, worsened somewhat, worsened"
Brazil,CANAVIE,Sustainable Livelihoods,Political Trust,2,"1: [Question: I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: Generally, WE HAVE CONFIDENCE THAT THE ICMBIO CAN TAKE DECISIONS FOR BETTER INTEREST OF [OUR COMMUNITY]; Response: 1-5 scale of agreement with statement, 5 best"
Brazil,CANAVIE,Sustainable Livelihoods,Social Trust,3,"1: [Question: MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY]; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED; Response: 1-10 scale of agreement with statement, 10 best; 3: [Question: IN A GENERAL WAY I TRUST THE MOST PEOPLE IN [MY COMMUNITY]; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,CURURUP,Community Support,Attitude,3,1: [Question: 2-DO YOU BELIEVE THAT YOUR PARTICIPATION IN RESEX CURURUPU FISHING ACTIVITIES CAN HAVE A DIRECT EFFECT ON YOUR LIFE?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 24-DO YOU THINK It is IMPORTANT TO RESPECT THE PERIOD OF DISCOVERY OF THE YELLOW FISH?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 26-DO YOU THINK It is IMPORTANT TO HAVE an AREA WITHOUT FISHING IN RESEX?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Knowledge,3,1: [Question: 17-Do you know the importance of regulating a spawning period for yellow hake?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 19-Do you know what is a play area or ASP (non-fishing area)?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 21-TODAY DO YOU KNOW HOW TO FILL IN A DAILY BOARD?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Sustainable Livelihoods,Livelihood Stability,2,"1: [Question: It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree; 2: [Question: 46- Compared to 5 years ago, the quality and stability of employment for the family:; Response: improved, improved somewhat, remained the same, worsened somewhat, worsened"
Brazil,CURURUP,Sustainable Livelihoods,Political Trust,2,"1: [Question: I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: Generally, WE HAVE CONFIDENCE THAT THE ICMBIO CAN TAKE DECISIONS FOR BETTER INTEREST OF [OUR COMMUNITY]; Response: 1-5 scale of agreement with statement, 5 best"
Brazil,CURURUP,Sustainable Livelihoods,Social Trust,3,"1: [Question: MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY]; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED; Response: 1-10 scale of agreement with statement, 10 best; 3: [Question: IN A GENERAL WAY I TRUST THE MOST PEOPLE IN [MY COMMUNITY]; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,PARNAIB,Community Support,Attitude,3,1: [Question: 35-Do you find it important to create a protected area for nurseries and / or fish spawning?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 17-Are studies and meetings held to discuss fishing in the community?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 19-Do you believe that something needs to be done to improve fishing in YOUR community?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,PARNAIB,Sustainable Livelihoods,Livelihood Stability,2,"1: [Question: It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree; 2: [Question: 46- Compared to 5 years ago, the quality and stability of employment for the family:; Response: improved, improved somewhat, remained the same, worsened somewhat, worsened"
Brazil,PARNAIB,Sustainable Livelihoods,Political Trust,2,"1: [Question: I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: Generally, WE HAVE CONFIDENCE THAT THE ICMBIO CAN TAKE DECISIONS FOR BETTER INTEREST OF [OUR COMMUNITY]; Response: 1-5 scale of agreement with statement, 5 best"
Brazil,PARNAIB,Sustainable Livelihoods,Social Trust,2,"1: [Question: THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: IN A GENERAL WAY I TRUST THE MOST PEOPLE IN [MY COMMUNITY]; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
